country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
EU (28 countries),3.0,0.5,-4.3,2.1,1.8,-0.4,0.3,1.8,2.3,2.0,2.6,2.0
Euro area (changing composition),2.9,0.4,-4.4,2.1,1.6,-0.9,-0.3,1.4,2.1,1.9,2.5,1.9
Euro area (19 countries),3.0,0.4,-4.5,2.1,1.6,-0.9,-0.3,1.4,2.1,1.9,2.5,1.9
Belgium,3.4,0.8,-2.3,2.7,1.8,0.2,0.2,1.3,1.7,1.5,1.7,1.4
Bulgaria,7.3,6.0,-3.6,1.3,1.9,0.0,0.5,1.8,3.5,3.9,3.8,3.1p
Czechia,5.6,2.7,-4.8,2.3,1.8,-0.8,-0.5,2.7,5.3,2.5,4.4,3.0
Denmark,0.9,-0.5,-4.9,1.9,1.3,0.2,0.9,1.6,2.3,2.4,2.3,1.5
Germany,3.0,1.0,-5.7,4.2,3.9,0.4,0.4,2.2,1.7,2.2,2.5,1.5
Estonia,7.6,-5.1,-14.4,2.7,7.4,3.1,1.3,3.0,1.8,2.6,5.7,4.8
Ireland,5.3,-4.5,-5.1,1.8,0.3,0.2,1.4,8.6,25.2,3.7,8.1,8.2
Greece,3.3,-0.3,-4.3,-5.5,-9.1p,-7.3p,-3.2p,0.7p,-0.4p,-0.2p,1.5p,1.9p
Spain,3.6,0.9,-3.8,0.2,-0.8,-3.0,-1.4,1.4,3.8,3.0,2.9p,2.4p
France,2.4,0.3,-2.9,1.9,2.2,0.3,0.6,1.0,1.1,1.1,2.3p,1.7p
Croatia,5.3,2.0,-7.3,-1.5,-0.3,-2.3,-0.5,-0.1,2.4,3.5,2.9,2.6
Italy,1.5,-1.0,-5.3,1.7,0.7,-3.0,-1.8,0.0,0.8,1.3,1.7,0.8
Cyprus,5.1,3.6,-2.0,2.0,0.4,-3.4,-6.6,-1.9,3.4,6.7,4.4,4.1p
Latvia,10.0,-3.3,-14.2,-4.5,6.3,4.1,2.3,1.9,3.3,1.8,3.8,4.6
Lithuania,11.1,2.6,-14.8,1.5b,6.0,3.8,3.6,3.5,2.0,2.6,4.2,3.6
Luxembourg,8.4,-1.3,-4.4,4.9,2.5,-0.4,3.7,4.3,4.3,4.6,1.8,3.1
Hungary,0.2,1.1,-6.7,0.7,1.8,-1.5,2.0,4.2,3.8,2.2,4.3,5.1
Malta,4.0,3.3,-2.5,3.5,1.3,2.8,4.6,8.7,10.8,5.7,6.7,6.8
Netherlands,3.8,2.2,-3.7,1.3,1.6,-1.0,-0.1,1.4,2.0,2.2,2.9,2.6p
Austria,3.7,1.5,-3.8,1.8,2.9,0.7,0.0,0.7,1.0,2.1,2.5,2.4
Poland,7.0,4.2,2.8,3.6,5.0,1.6,1.4,3.3,3.8,3.1,4.9,5.1
Portugal,2.5,0.3,-3.1,1.7,-1.7,-4.1,-0.9,0.8,1.8,2.0,3.5,2.4p
Romania,7.2,9.3,-5.5,-3.9,2.0,2.1,3.5,3.4,3.9,4.8,7.1,4.0p
Slovenia,7.0,3.5,-7.5,1.3,0.9,-2.6,-1.0,2.8,2.2,3.1,4.8,4.1
Slovakia,10.8,5.6,-5.5,5.7,2.9,1.9,0.7,2.8,4.8,2.1,3.0,4.0
Finland,5.3,0.8,-8.1,3.2,2.5,-1.4,-0.9,-0.4,0.6,2.6,3.1,1.7
Sweden,3.4,-0.2,-4.2,6.2,3.1,-0.6,1.1,2.7,4.4,2.4,2.4,2.3
United Kingdom,2.5,-0.3,-4.2,1.7,1.6,1.4,2.0,2.9,2.3,1.8,1.8,1.4
Iceland,9.4,2.0,-6.8,-3.4,1.9,1.3,4.1,2.1,4.7,6.6,4.4,4.8
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,3.0,0.5,-1.7,0.7,1.0,2.7,1.0,2.0,2.0,1.1,2.3,1.3
Switzerland,4.1,2.2,-2.2,3.0,1.7,1.0,1.9,2.4,1.3,1.7,1.8p,2.8p
Montenegro,:,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1
North Macedonia,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,0.2p,2.7e
Albania,6.0,7.5,3.4,3.7,2.5,1.4,1.0,1.8,2.2,3.3,3.8p,4.1e
Serbia,6.4,5.7,-2.7,0.7,2.0,-0.7,2.9,-1.6,1.8,3.3,2.0,4.4
Turkey,5.0,0.8,-4.7,8.5,11.1,4.8,8.5,5.2,6.1,3.2,7.5,2.8
Bosnia and Herzegovina,:,5.4,-3.0,0.9,1.0,-0.8,2.4,1.1,3.1,3.1,3.2,3.1
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,3.6,3.3,4.4,2.8,3.4,1.2,4.1,4.1,4.2,3.8
