Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
"Bermudas, Islas (R. Unido)",108,92,182,249,155,188,217,224,266,359,338,377,373,346,América del Norte
CanadÃ¡,667730,776606,945620,1135001,1222410,1460418,1563146,1571543,1599425,1676681,1748531,1781469,1985084,2155383,América del Norte
Estados Unidos15,5079529,5380899,5808116,5810095,5383610,5907618,5727990,5941964,6479040,7164374,8391667,9417601,10340465,10496434,América del Norte
Groenlandia,0,0,0,0,0,0,2,2,1,0,0,0,3,1,América del Norte
Belice,1104,1585,1977,2727,4922,5452,5347,4422,4172,5080,5398,4538,4262,4819,América Central
Costa Rica,26382,28764,37726,44580,42107,53152,44415,59361,62507,66356,86280,111747,138207,162858,América Central
El Salvador,19364,19480,21352,21257,21846,22931,21050,28283,27838,37347,45385,52538,65436,65640,América Central
Guatemala,38106,33173,36955,43881,52736,50274,44422,59091,66894,67136,95141,129025,154075,168340,América Central
Honduras,7272,7159,10667,15283,13981,12485,14015,15748,19112,20190,22220,26907,38530,34408,América Central
Nicaragua,5373,5354,7100,9023,7359,7457,7056,7919,8155,9123,12683,15630,19553,16557,América Central
PanamÃ¡,8515,10042,15308,19343,21451,24700,22813,30347,34835,38129,48126,50631,48580,53450,América Central
Anguila,0,0,0,0,5,2,7,1,1,2,1,1,5,2,Islas del Caribe
Antigua y Barbuda,60,78,81,95,66,95,103,106,120,148,156,181,161,182,Islas del Caribe
Antillas Holandesas (P. Bajos) 16,4,4,31,31,15,9,8,6,1,3,1,2,3,5,Islas del Caribe
Aruba (P. Bajos),3,1,3,4,2,1,2,2,0,1,1,0,1,1,Islas del Caribe
Bahamas (Commonwealth),374,427,473,547,445,422,553,444,583,742,657,817,953,1096,Islas del Caribe
Barbados,190,267,320,311,328,467,433,412,372,698,551,482,588,593,Islas del Caribe
"CaimÃ¡n, Islas (R. Unido)",7,13,10,16,14,22,45,33,28,61,52,42,45,33,Islas del Caribe
Cuba,19581,30662,40454,47825,40965,39249,40873,44881,48887,56253,63270,100251,119364,169230,Islas del Caribe
Dominica (Commonwealth),238,255,221,173,148,127,133,99,133,126,176,161,174,194,Islas del Caribe
"Dominicana, Rep.",6058,6783,8621,9374,8605,9800,9983,10189,10976,13214,13913,16419,18311,22513,Islas del Caribe
Granada,86,120,126,149,145,165,142,115,119,198,173,163,194,197,Islas del Caribe
Guadalupe (Francia),3,6,1,1,1,-,4,0,2,0,2,0,1,1,Islas del Caribe
HaitÃ­,934,1037,1325,1645,1337,2316,2312,2386,2401,2422,2507,2817,2760,3218,Islas del Caribe
Jamaica,1104,1206,1637,1813,1244,1456,1731,1637,1920,2923,3173,4130,5311,7699,Islas del Caribe
Martinica (Terr. Ultram. Francia),3,0,1,0,0,1,1,1,0,0,0,0,0,0,Islas del Caribe
Montserrat (R. Unido),3,0,1,1,0,-,0,0,0,1,4,2,0,0,Islas del Caribe
San CristÃ³bal y Nieves,41,35,75,47,57,67,101,56,114,142,171,166,154,164,Islas del Caribe
San Vicente y Las Granadinas,90,114,93,129,123,113,120,108,121,241,201,213,199,243,Islas del Caribe
Santa LucÃ­a,114,78,91,125,134,172,158,156,168,251,245,250,297,354,Islas del Caribe
Trinidad y Tobago,1033,1101,1367,1535,1479,1857,2082,2124,2820,3855,4337,6019,6765,7515,Islas del Caribe
"Turcos y Caicos, Islas (R. Unido)",375,391,462,385,219,106,30,29,82,87,87,133,171,110,Islas del Caribe
"VÃ­rgenes BritÃ¡nicas, Islas",8,8,9,5,8,12,8,4,6,6,7,8,12,12,Islas del Caribe
"VÃ­rgenes de EUA, Islas",1,1,3,1,2,2,0,1,0,0,0,1,0,0,Islas del Caribe
Argentina,78698,84864,111422,126130,127107,170467,200687,251221,257820,246404,341106,405959,474248,490211,América del Sur
Bolivia,4679,5057,5684,6117,6638,8230,8043,9775,11137,11746,14436,18006,19732,21242,América del Sur
Brasil,83125,44789,60019,76491,68211,117658,196266,248899,267507,309696,304230,307439,376520,389605,América del Sur
Chile,36483,41735,53879,59634,54179,67661,76379,88148,94647,107455,129679,151189,178641,190413,América del Sur
Colombia,41491,44674,61107,67378,68493,102177,125882,163725,262653,328213,407395,439689,485371,557614,América del Sur
Ecuador,12707,12319,14274,18121,17327,26073,29036,33531,36641,52586,61681,64175,67437,93558,América del Sur
Guayana Francesa,0,0,0,0,8,6,4,1,3,1,2,1,0,1,América del Sur
Guyana,200,288,367,409,316,339,386,339,435,544,567,840,958,1003,América del Sur
"Malvinas, Islas",0,0,0,0,0,1,0,0,1,0,0,0,0,0,América del Sur
Paraguay,1814,1604,2289,2853,3882,4663,6369,10219,13047,15900,19470,18505,20074,23866,América del Sur
PerÃº,21951,23406,28073,29955,33420,50676,69373,90892,126327,136361,159705,182042,212613,257138,América del Sur
Surinam,63,71,84,100,85,107,135,139,114,221,131,181,166,168,América del Sur
Uruguay,7740,8847,10663,11333,11355,14297,15269,16765,20922,23537,32890,34262,35217,36838,América del Sur
Venezuela,38339,45831,64064,82453,83467,84868,88804,129331,164968,176535,127567,93494,91601,99521,América del Sur
Albania,208,207,367,508,429,551,702,608,681,864,1026,972,1157,1513,Europa
Alemania,129202,134541,151021,158050,140754,163266,165133,172841,187141,207031,221526,255940,277352,289775,Europa
Andorra,484,448,433,459,257,375,289,312,348,365,418,460,408,468,Europa
Austria,15524,15652,16585,16772,15123,15859,15483,16787,18030,20410,21285,23878,25334,27235,Europa
"Azores, Islas",0,0,0,0,4,2,3,3,0,2,2,0,0,0,Europa
BÃ©lgica,24887,27902,31246,36202,30173,31188,30344,29924,29783,30605,31038,35727,40446,41707,Europa
Bielorrusia,367,453,679,802,774,1162,1465,1751,2182,2325,2110,2155,2306,3126,Europa
Bosnia-Herzegovina,318,384,487,561,357,448,595,526,591,632,707,745,920,1143,Europa
Bulgaria,1323,1447,2734,3826,2827,3004,3888,3640,4064,4560,4952,5510,5728,6671,Europa
"Checa, Rep.",5704,6259,7771,10216,8630,8012,8445,9954,10402,10545,10928,11947,14757,14827,Europa
Croacia,808,802,1062,1727,1659,1485,1820,2010,2025,2387,3074,3124,3381,4256,Europa
Dinamarca,10312,12757,14324,15402,14057,14389,14740,15530,16505,15725,17005,18976,20083,20695,Europa
Eslovaquia,2133,2568,3271,4092,3626,3799,4277,4432,4694,5518,5631,6453,7814,7724,Europa
Eslovenia,1774,1868,2420,2591,2035,1722,1734,1516,1536,1890,2163,2547,2687,3035,Europa
EspaÃ±a,204030,260252,277255,284512,215669,287163,279530,278812,282255,310123,333306,361498,377346,386257,Europa
Estonia,664,1030,1295,1528,1383,1053,1203,1697,1499,2041,2278,2389,2959,2800,Europa
"Faroe, Islas",0,0,0,0,0,3,2,1,0,1,1,0,0,1,Europa
Finlandia,7710,10183,9656,10332,10128,10348,10141,11688,12648,13857,13132,13030,14963,13722,Europa
